lcdb2_name,lcdb1_name,gen_veg,wetland,minor_clsa,minor_clsb,minor_clsc,uncertain1,uncertain2,comments,class_cor,bound_cor,wetld_cor,field_com,photo_1,photo1_id,photo_east1,photo_nth1,photo_2,photo2_id,photo_east2,photo_nth2,district,id
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,"Afforestation (imaged, post LCD1)",Indigenous Forest,,,,,,,,,,,,,,,,,Hauraki,4
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,,,,,,Yes,Yes,,,,,0,0,,,,,Hauraki,5
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Indigenous Forest,Pine Forest - Open Canopy,,,,,,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\ID1-12.JPG,,0,0,,,,,Hauraki,6
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Manuka and or Kanuka,Fernland,,,,,,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\ID1-18.JPG,,0,0,,,,,Hauraki,7
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,Indigenous Forest,Broadleaved Indigenous Hardwoods,,,,,,,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\ID1-18.JPG,,0,0,,,,,Hauraki,8
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,,,,,,,,,,,"\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\ID1-112,113,27,28,etc.JPG",,0,0,,,,,Hauraki,9
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,,,,,,,,,,,,,0,0,,,,,Hauraki,10
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Indigenous Forest,Manuka and or Kanuka,,,,,,,,,,,0,0,,,,,Hauraki,11
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Pine Forest - Open Canopy,,,,,,,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\ID1-124.JPG,,0,0,,,,,Hauraki,12
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,,,,,,,,,,,,0,0,,,,,Hauraki,13
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,Indigenous Forest,Broadleaved Indigenous Hardwoods,,,,,,,,,,,0,0,,,,,Hauraki,14
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Indigenous Forest,Pine Forest - Open Canopy,Mixed Exotic Shrubland,,,Either fern or srub or BIH or all of them,,,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\ID1-63.jpg,,0,0,,,,,Hauraki,15
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Pine Forest - Open Canopy,Broadleaved Indigenous Hardwoods,Other Exotic Forest,,MINOR_CLSC,,Yes,,,"LCDB2 = Man/Kan with some scatterd pine, only partially seen from reservior Rd",,,0,0,,,,,Hauraki,16
Deciduous Hardwoods,Exotic Hardwoods,Predominantly Exotic,,,,,,,,,,,,,,0,0,,,,,Hauraki,17
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Indigenous Forest,Other Exotic Forest,,,,,,,,,,,0,0,,,,,Hauraki,18
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Pine Forest - Open Canopy,,,,,,,,,,,,0,0,,,,,Hauraki,19
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Indigenous Forest,,,,,,,,,,,0,0,,,,,Hauraki,20
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,,,,,,,,,,,,0,0,,,,,Hauraki,21
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Manuka and or Kanuka,,,,,,,,,,,0,0,,,,,Hauraki,22
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Manuka and or Kanuka,,,,,,,,,,,0,0,,,,,Hauraki,23
,,,true,,,,,,wetted pasture that may include wetland vegetation species,,,,,,,0,0,,,,,Hauraki,38
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Manuka and or Kanuka,,,,,Yes,,,Not 100% on this: LCDB2 = IF (tightly packed tanekaha) MINORCLSA = BIH (rewarewa),\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0184.JPG,,2753572,6414428,,,,,Hauraki,39
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Hauraki,40
Pine Forest - Open Canopy,Planted Forest,Predominantly Exotic,,,,,,,,,,,,,,0,0,,,,,Hauraki,41
Pine Forest - Open Canopy,Planted Forest,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,,,Classification,,,,,,,,,0,0,,,,,Hauraki,42
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,Yes,,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0188.JPG,,2756143,6412701,,,,,Hauraki,43
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Manuka and or Kanuka,,,,,Yes,,,LCDB2 = IF (tightly packed conifer forest),\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0188.JPG,,2756143,6412701,,,,,Hauraki,44
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Herbaceous Saline Vegetation,,,,,,Yes,Yes,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0253.JPG,,2766816,6431229,,,,,Hauraki,51
Herbaceous Saline Vegetation,Coastal Wetland,Mixed Indigenous and Exotic,true,,,,,,,Yes,Yes,,wet pasture included in polygon. see photo,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0253.JPG,,2766816,6431229,,,,,Hauraki,52
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,true,Herbaceous Saline Vegetation,,,,,,Yes,Yes,,large patch of manuka in centre. see photo,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0253.JPG,,2766816,6431229,,,,,Hauraki,53
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Gorse and Broom,Indigenous Forest,,,,Yes,Yes,,"LCDB2 = Manuka/ Kanuka some BIH, and Broom. Northwest part is IF.",\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0165.JPG,,2723753,6421889,,,,,Hauraki,54
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,,,,,,,,,,,,,0,0,,,,,Hauraki,55
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,true,Fernland,Herbaceous Freshwater Vegetation,,,,,Can not see,,,not viewable,,,0,0,,,,,Hauraki,63
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,Yes,Yes,,"MINORCLSA = BIH, some patches of gorse, some scattered pine",\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0192.JPG,,2762866,6411022,,,,,Hauraki,64
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,,,,,,,Yes,,,,,,0,0,,,,,Hauraki,65
Pine Forest - Open Canopy,Planted Forest,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,Manuka and or Kanuka,Fernland,Classification,MINOR_CLSB and MINOR_CLSC,could be exotic trees or Indigenous forest,Can not see,Can not see,,,,,0,0,,,,,Hauraki,66
Other Exotic Forest,Planted Forest,Predominantly Exotic,,Manuka and or Kanuka,,,,,,Yes,Yes,,"LCDB2 = OEF (eucalypt etc), some Man/Kan understory",\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0175.JPG,,2744153,6414405,,,,,Hauraki,67
,,,true,Deciduous Hardwoods,,,,,Possible wetland,Yes,Yes,,"LCDB2 = Low producing exotic grassland (dominated by rye, clover, doc) some small lines of willow in polygon. Very littlt J. effusus Land in the process of being subdivided.",\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0179.JPG,,2746539,6423031,,,,,Hauraki,68
Deciduous Hardwoods,Exotic Hardwoods,Predominantly Exotic,true,,,,,,,Can not see,,,,,,0,0,,,,,Hauraki,69
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,Mixed Exotic Shrubland,,,,,,Yes,,,,,,0,0,,,,,Hauraki,70
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,,,,,,,Yes,Yes,,LCDB2 = IF (kahikatea stand,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0233.JPG,,2742541,424262,,,,,Hauraki,71
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Other Exotic Forest,,,,,,Yes,Yes,,Manuka/ Kanuka with some wattle on fringes,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0160.JPG,,2727831,6417935,,,,,Hauraki,72
Mangrove,Mangrove,Predominantly Indigenous,,,,,,,,Yes,Can not see,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0238.JPG,,2732797,6441717,,,,,Hauraki,73
Herbaceous Freshwater Vegetation,Inland Wetland,Mixed Indigenous and Exotic,true,,,,,,,Yes,Yes,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0173.JPG,,2731800,6437869,,,,,Hauraki,74
Herbaceous Freshwater Vegetation,Inland Wetland,Mixed Indigenous and Exotic,true,,,,,,,Yes,Yes,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0172.JPG,,2731249,6436343,,,,,Hauraki,75
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,,,,,,Yes,Can not see,,"can't see all of polygon. phot and ID from road (southern end of polygon), mostly Five finger",\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0246.JPG,,2756930,6423907,,,,,Hauraki,76
Pine Forest - Open Canopy,Planted Forest,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,,,,,,Can not see,,,unable to be seen,,,0,0,,,,,Hauraki,56
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,,,,,,Yes,Can not see,,LCBD2 = BIH MINORCLSA = Man/Kan (on eastern side of road),\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0252.JPG,,2765974,6428088,,,,,Hauraki,57
Herbaceous Freshwater Vegetation,Inland Wetland,Mixed Indigenous and Exotic,true,Deciduous Hardwoods,,,,,,Yes,Can not see,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0256.JPG,,2763972,6434913,,,,,Hauraki,58
Deciduous Hardwoods,Exotic Hardwoods,Predominantly Exotic,true,,,,,,,Can not see,,,unable to be seen,,,0,0,,,,,Hauraki,59
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,,,,,,,Yes,Yes,,,,,0,0,,,,,Hauraki,60
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,Yes,,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0187.JPG,,2756140,6412692,,,,,Hauraki,61
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,,,,,,Can not see,,,unable to see,,,0,0,,,,,Hauraki,62
Herbaceous Freshwater Vegetation,Inland Wetland,Mixed Indigenous and Exotic,true,Deciduous Hardwoods,,,,,,Yes,,,"Includes some pasture, Low producing exotic grassland",\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0157.JPG,,2732521,6425725,,,,,Hauraki,45
Pine Forest - Open Canopy,Planted Forest,Predominantly Exotic,,Gorse and Broom,,,,,,Yes,,,Is large wilding pines,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0231.JPG,,0,0,,,,,Hauraki,46
Gorse and Broom,Shrubland,Predominantly Exotic,,,,,,,,Yes,,,LCDB2 = gorse and broom,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0231.JPG,,0,0,,,,,Hauraki,47
Other Exotic Forest,Planted Forest,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,,,,,,Yes,,,is wattle and OEF,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0231.JPG,,0,0,,,,,Hauraki,48
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,Yes,,,Eastern half of polygon = Man/Kan. central light colour = BIH (tree frens),\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0177.JPG,,274526,6415432,,,,,Hauraki,49
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Other Exotic Forest,,,,,Yes,Yes,,BIH with some emergent wattle. central light colour = BIH (tree frens),\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0177.JPG,,274526,6415432,,,,,Hauraki,50
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,,,,,,,,,,,,,0,0,,,,,Hauraki,31
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,true,,,,,,,,,,,,,0,0,,,,,Hauraki,32
Herbaceous Freshwater Vegetation,Inland Wetland,Mixed Indigenous and Exotic,true,Deciduous Hardwoods,Broadleaved Indigenous Hardwoods,,,,,,,,,,,0,0,,,,,Hauraki,33
Gorse and Broom,Shrubland,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,,,,,sprayed combinations gorse,,,,,,,0,0,,,,,Hauraki,34
Gorse and Broom,Shrubland,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,,,,,sprayed combinations gorse,,,,,,,0,0,,,,,Hauraki,35
Gorse and Broom,Shrubland,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,,,,,sprayed combinations gorse,,,,,,,0,0,,,,,Hauraki,36
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Fernland,Manuka and or Kanuka,Gorse and Broom,,,,,,,,,,0,0,,,,,Hauraki,37
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,0,0,,,,,Hauraki,95
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,0,0,,,,,Hauraki,96
Other Exotic Forest,Planted Forest,Predominantly Exotic,,,,,,,,,,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\ID1-35.JPG,,0,0,,,,,Hauraki,97
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,,,,,,,,,,,,,0,0,,,,,Hauraki,98
Other Exotic Forest,Planted Forest,Predominantly Exotic,,,,,,,,,,,,,,0,0,,,,,Hauraki,99
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,,,,,,,,,,,,,0,0,,,,,Hauraki,100
Pine Forest - Open Canopy,Planted Forest,Predominantly Exotic,,,,,,,,,,,,,,0,0,,,,,Hauraki,101
Deciduous Hardwoods,Exotic Hardwoods,Predominantly Exotic,,Indigenous Forest,Mixed Exotic Shrubland,,,,,,,,,,,0,0,,,,,Hauraki,102
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Indigenous Forest,,,,,,,,,,,,0,0,,,,,Hauraki,110
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Indigenous Forest,Manuka and or Kanuka,,,,,,,,,,,0,0,,,,,Hauraki,111
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,,,,,,,,,,,,,0,0,,,,,Hauraki,112
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Indigenous Forest,Broadleaved Indigenous Hardwoods,,,,,,,,,,,0,0,,,,,Hauraki,113
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,,,,,,,,,,,,,0,0,,,,,Hauraki,114
Mixed Exotic Shrubland,Shrubland,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,Fernland,Manuka and or Kanuka,,,,,,,,,,0,0,,,,,Hauraki,115
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,,,,,,,,,,,,,,,,,,,Waitomo,116
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,,,,,,,,,,,,,,,,,,,Waitomo,117
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Indigenous Forest,,,,,,,,,,,,,,,,,,Waitomo,118
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,,,,,,,,,,,,,,,,,,,Waitomo,119
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,,,,,,,,,,,,,,,,,,Waitomo,120
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,,,,,,,,,,,,,,,,,,,Waitomo,121
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,0,0,,,,,Hauraki,103
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Fernland,Indigenous Forest,Mixed Exotic Shrubland,,,,,,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\ID1-56(1).jpg,,0,0,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\ID1-56(2).JPG,,,,Hauraki,104
Fernland,Shrubland,Predominantly Indigenous,,,,,,,,,,,,,,0,0,,,,,Hauraki,105
Mixed Exotic Shrubland,Shrubland,Predominantly Exotic,,,,,,,,,,,,,,0,0,,,,,Hauraki,106
Gorse and Broom,Shrubland,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,,,,,,,,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\ID1-59.JPG,,0,0,,,,,Hauraki,107
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,,,,,,,,,,,,,0,0,,,,,Hauraki,108
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,0,0,,,,,Hauraki,109
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,,,,,,,Yes,Yes,,Kahikatea stand,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0174.JPG,,2734500,6433599,,,,,Hauraki,77
Herbaceous Freshwater Vegetation,Inland Wetland,Mixed Indigenous and Exotic,true,,,,,,,Yes,Yes,,G.maxima,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0158.JPG,,2734633,6430057,,,,,Hauraki,78
Deciduous Hardwoods,Exotic Hardwoods,Predominantly Exotic,true,,,,,,,Yes,Yes,,Almost exclusively willow,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0176.JPG,,2744028,6414802,,,,,Hauraki,79
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,,,,,,,Yes,Yes,,,,,0,0,,,,,Hauraki,80
Herbaceous Freshwater Vegetation,Inland Wetland,Mixed Indigenous and Exotic,true,Other Exotic Forest,,,,,,Yes,Yes,,LCDB2 = Freshwater sedgeland. Large pond surrounded by aquatic plants and garden variety trees.,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0191.JPG,,2761150,6415327,,,,,Hauraki,81
Other Exotic Forest,Planted Forest,Predominantly Exotic,,Gorse and Broom,,,,,,Can not see,Can not see,,,,,0,0,,,,,Hauraki,82
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,,,,,,Yes,Yes,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0194.JPG,,2766431,6417149,,,,,Hauraki,83
Other Exotic Forest,Planted Forest,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,,,,,,Yes,Yes,,"LCDB2 = OE (pines, watlle) MINORCLSA = BIH",\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0190.JPG,,2755802,6416866,,,,,Hauraki,84
Other Exotic Forest,Planted Forest,Predominantly Exotic,,,,,,,,Yes,Yes,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0193.JPG,,2765421,6415405,,,,,Hauraki,85
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,,,,,,,Yes,Yes,,,,,0,0,,,,,Hauraki,86
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,,,,,,,,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\ID1-1(1).JPG,,0,0,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\ID1-1(2).JPG,,,,Hauraki,87
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,,,,,,,,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\ID1-20.JPG,,0,0,,,,,Hauraki,88
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,,,,,,,,,,,,,0,0,,,,,Hauraki,89
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,,,,,,,,,,,,,0,0,,,,,Hauraki,90
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,0,0,,,,,Hauraki,91
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Deciduous Hardwoods,,,,,,,,,,,,0,0,,,,,Hauraki,92
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,0,0,,,,,Hauraki,93
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,Indigenous Forest,,,,,,,,,,"\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\ID1-112,113,27,28,etc.JPG",,0,0,,,,,Hauraki,94
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,,,,,,,,,,,,,,,,,,,Waitomo,138
Other Exotic Forest,Planted Forest,Predominantly Exotic,,,,,,,,,,,,,,,,,,,,Waitomo,139
