Keywords,Categories
leaf area,Thing
leaf length,Thing
leaf penetration strength,Thing
leaf surface,Thing
leaf trait,Thing
leafflower moth,Thing
leave damage,Thing
length,Thing
lepidopteran phylogenetic diversity,Thing
life span study,Thing
light,Thing
light condition,Thing
lipid,Thing
liquid fuel,Thing
live,Thing
living,Thing
living leaf,Thing
living resource,Thing
living statu,Thing
living tissue,Thing
located in,Thing
location,Thing
long,Thing
longevity study,Thing
longitude,Thing
longitudinal,Thing
low density,Thing
lytic enzyme,Thing
macroinvertebrate,Thing
macronutrient,Thing
magnesium,Thing
magnetic,Thing
magnetic field,Thing
maize,Thing
male,Thing
male sample size,Thing
mammal,Thing
mammal specy,Thing
mangrove,Thing
manufacturing,Thing
marine,Thing
marine benthic habitat,Thing
marine biodiversity,Thing
marine ecosystem,Thing
marine environment,Thing
marine protected area,Thing
marsh,Thing
mas,Thing
meadow,Thing
measure,Thing
measurement,Thing
meat,Thing
mechanism,Thing
median life expectancy,Thing
mediterranean sea,Thing
metabolism,Thing
metabolite,Thing
metagenomic,Thing
metal,Thing
metazoan,Thing
metazoon,Thing
methane,Thing
methane seep,Thing
mg,Thing
microbe,Thing
microbe biomas,Thing
microbial,Thing
microbial biomas,Thing
microbial community,Thing
microbial host,Thing
microbiome,Thing
microbiota richnes,Thing
microbiotum,Thing
microclimate,Thing
microorganism,Thing
minced meat,Thing
mineral,Thing
minimum temperature,Thing
mining,Thing
mitigation,Thing
mitochondrial dna,Thing
mixed broad-leaved forest,Thing
moisture,Thing
molecular,Thing
molecular diversity,Thing
mollusca,Thing
month,Thing
monument,Thing
morphologically,Thing
morphology,Thing
mortality rate,Thing
mosquito,Thing
moth,Thing
multi-trait,Thing
n,Thing
national forest,Thing
national forest reserve,Thing
national nature reserve,Thing
national park,Thing
native,Thing
natural,Thing
natural enemy,Thing
natural forest,Thing
natural ga,Thing
natural habitat,Thing
natural system,Thing
natural vegetation,Thing
nature,Thing
nature conservation,Thing
nature reserve,Thing
natureserve,Thing
nb_richnes,Thing
ndicate,Thing
neighbour diversity,Thing
neighbour richnes,Thing
neotropic,Thing
neotropical,Thing
neotropical herbivore,Thing
nitrate,Thing
nitrogen,Thing
nitrogen concentration,Thing
nitrogen content,Thing
nitrous oxide,Thing
no3,Thing
non-exotic,Thing
non-trophic,Thing
north american zoo,Thing
nucleotide,Thing
nutrient,Thing
nutrient cycling,Thing
nutrient regeneration,Thing
nutrient uptake,Thing
o2,Thing
o2 production,Thing
observation,Thing
observed.div,Thing
occurrence,Thing
ocean,Thing
ocean warming,Thing
oceanic,Thing
oceanic bathypelagic specy,Thing
oil,Thing
oil palm,Thing
old,Thing
open,Thing
open water,Thing
open-habitat,Thing
organ,Thing
organic,Thing
organic carbon,Thing
organic carbon content,Thing
organic compound,Thing
organic nitrogen,Thing
organic nitrogen content,Thing
organic soil,Thing
organic soil layer,Thing
organism,Thing
organization,Thing
ornamental,Thing
ornamental exotic plant,Thing
overexploitation,Thing
oxide,Thing
park,Thing
pathogen,Thing
pelagic biomas,Thing
penetration,Thing
peptide,Thing
perimeter,Thing
perpendicular to,Thing
pet,Thing
ph,Thing
ph value,Thing
ph-value,Thing
phenomena,Thing
phosphoru,Thing
photosynthesi,Thing
photosynthetic,Thing
photosynthetic o2 production,Thing
photosynthetically,Thing
phylogenetic,Thing
phylogeny,Thing
phylum,Thing
physiological,Thing
physiological similarity,Thing
place,Thing
plain,Thing
plant,Thing
plant collection,Thing
plant collection record,Thing
plant community,Thing
plant diversity,Thing
plant family name,Thing
plant height,Thing
plant leaf,Thing
plant nitrogen concentration,Thing
plant performance,Thing
plant population,Thing
plant productivity,Thing
plant quality,Thing
plant specy,Thing
plant tissue,Thing
plantation,Thing
planted,Thing
planted_specy,Thing
planting,Thing
plastic,Thing
plot,Thing
plot diversity,Thing
plot name,Thing
plot richnes,Thing
policy measure,Thing
pollen,Thing
pollination,Thing
pollinator,Thing
pollution,Thing
polyketide,Thing
polymorphism,Thing
population,Thing
position,Thing
potassium,Thing
potato leaf,Thing
precipitation,Thing
predation,Thing
predator,Thing
presence,Thing
preservation,Thing
preserve,Thing
pressure,Thing
prey,Thing
proces,Thing
prominent,Thing
protected area,Thing
protection,Thing
protein,Thing
publication,Thing
qualitative,Thing
quality,Thing
quality control,Thing
radiu,Thing
rain,Thing
rainfall,Thing
rainforest,Thing
rainy,Thing
rainy season,Thing
range,Thing
rate,Thing
ratio,Thing
rdna,Thing
reasearch plot,Thing
rectum,Thing
reduction,Thing
reef,Thing
regeneration,Thing
region,Thing
renewable,Thing
reproduction,Thing
reproduction of an organism,Thing
reproductive,Thing
reptile,Thing
research plot,Thing
reserve,Thing
reservoir,Thing
resilience,Thing
ribosomal,Thing
ribosomal rna,Thing
rice,Thing
richnes,Thing
riparian,Thing
river,Thing
river fish,Thing
rna,Thing
rock,Thing
rock fragment,Thing
rockmaterial,Thing
root,Thing
root intensity,Thing
royal jelly,Thing
rugose,Thing
s content,Thing
saline,Thing
saline soil,Thing
salinity,Thing
salt,Thing
saltwater,Thing
sample,Thing
sample size,Thing
sampling,Thing
sand,Thing
sand content,Thing
sand dune,Thing
savanna,Thing
savannah,Thing
scientific name,Thing
scientific plant,Thing
scientific plant species name,Thing
scientific species fullname,Thing
scientific specy,Thing
se,Thing
sea,Thing
sea ice,Thing
sea ice cover,Thing
sea level,Thing
seafloor,Thing
season,Thing
secondary,Thing
secondary forest,Thing
sediment,Thing
seed,Thing
seed predator,Thing
seedling,Thing
sensitive,Thing
sensitivity,Thing
sewage,Thing
sex,Thing
sexual,Thing
shallow,Thing
shape,Thing
shore,Thing
shoreline,Thing
short,Thing
shrub,Thing
silt,Thing
site,Thing
size,Thing
size distribution,Thing
sky,Thing
slope,Thing
slug,Thing
small,Thing
snow,Thing
so4,Thing
soil,Thing
soil base,Thing
soil carbon content,Thing
soil colmy,Thing
soil crust,Thing
soil depth,Thing
soil ecology,Thing
soil erosion,Thing
soil faunal biomas,Thing
soil horizon,Thing
soil layer,Thing
soil lipid,Thing
soil microbe,Thing
soil microbial community,Thing
soil moisture,Thing
soil nutrient,Thing
soil organic,Thing
soil organic carbon,Thing
soil organic carbon content,Thing
soil profile,Thing
soil property,Thing
soil structure,Thing
solid,Thing
solid fuel,Thing
soya bean,Thing
space,Thing
spatial distribution,Thing
speciation,Thing
specie,Thing
species,Thing
species abundance,Thing
species coexistence,Thing
species common name,Thing
species composition,Thing
species conservation,Thing
species diversity,Thing
species fullname,Thing
species interaction,Thing
species name,Thing
species richnes,Thing
species-rich,Thing
speciman,Thing
specimen,Thing
speed,Thing
spring,Thing
stability,Thing
stability of ecosystem,Thing
steep slope,Thing
stem,Thing
stomach,Thing
stomatal,Thing
storm,Thing
straight,Thing
strain,Thing
stream,Thing
strength,Thing
structure,Thing
structured,Thing
study,Thing
study plot,Thing
sub-saharan,Thing
sub-tropical,Thing
sub-tropical forest,Thing
subplot,Thing
subset,Thing
subtropic,Thing
subtropical,Thing
subtropical forest,Thing
subtropical forest ecosystem,Thing
sugar,Thing
sugar composition analyasis,Thing
sulphur,Thing
sulphur content,Thing
summer,Thing
suplot,Thing
surface,Thing
surface water,Thing
system,Thing
tag,Thing
tannin,Thing
taxa,Thing
taxon,Thing
taxonclas,Thing
taxonomic,Thing
taxonomic change,Thing
taxonomic diversity,Thing
taxonomically,Thing
taxonomy,Thing
temperate,Thing
temperature,Thing
temporal,Thing
terpenoid,Thing
terrestrial,Thing
terrestrial ecosystem,Thing
terrestrial vegetation,Thing
texture,Thing
the gutianshan national nature reserve,Thing
the mediterranean sea,Thing
theacea,Thing
thicknes,Thing
time,Thing
tissue,Thing
topography,Thing
total area,Thing
total organic nitrogen content,Thing
total soil organic carbon content,Thing
total sulphur content,Thing
toxic,Thing
toxicity,Thing
trait,Thing
treatment,Thing
tree,Thing
tree age,Thing
tree diversity,Thing
tree growth,Thing
tree height,Thing
tree quality,Thing
tree species richnes,Thing
tree specy,Thing
trench,Thing
trophic,Thing
trophic level,Thing
trophobiosi,Thing
trophobiosis,Thing
tropic,Thing
tropical,Thing
tropical deforestation,Thing
tropical forest,Thing
tropical forest ecosystem,Thing
tropical place,Thing
un-harvested forest,Thing
underwater,Thing
ured o,Thing
variability,Thing
variance,Thing
vascular plant specy,Thing
vegetable,Thing
vegetation,Thing
vegetation cover,Thing
vegetation factor,Thing
vegetation type,Thing
vertebrate,Thing
vertical,Thing
viru,Thing
viruse,Thing
volatile compound,Thing
volcanic ash,Thing
volume,Thing
warm,Thing
water,Thing
water condition,Thing
water consumption,Thing
water depth,Thing
water quality,Thing
water resource,Thing
water resource region,Thing
weather,Thing
weather condition,Thing
weighed,Thing
weighing,Thing
weight,Thing
wetland,Thing
width,Thing
wildlife,Thing
wind,Thing
wood,Thing
woodland,Thing
woodland type,Thing
woody,Thing
woody plant,Thing
year,Thing
young,Thing
young leaf,Thing
young tree,Thing
