Keywords,Categories
study,Thing
study plot,Thing
subplot,Thing
subtropic,Thing
subtropical,Thing
subtropical forest,Thing
subtropical forest ecosystem,Thing
sulphur,Thing
sulphur content,Thing
summer,Thing
suplot,Thing
surface,Thing
system,Thing
tag,Thing
tannin,Thing
taxa,Thing
taxon,Thing
taxonclas,Thing
taxonomic,Thing
taxonomic diversity,Thing
taxonomy,Thing
temperate,Thing
temperature,Thing
terrestrial,Thing
terrestrial ecosystem,Thing
terrestrial vegetation,Thing
texture,Thing
the gutianshan national nature reserve,Thing
theacea,Thing
thicknes,Thing
time,Thing
tissue,Thing
topography,Thing
total area,Thing
total organic nitrogen content,Thing
total soil organic carbon content,Thing
total sulphur content,Thing
toxic,Thing
trait,Thing
treatment,Thing
tree,Thing
tree age,Thing
tree diversity,Thing
tree growth,Thing
tree height,Thing
tree species richnes,Thing
tree specy,Thing
trophic,Thing
trophic level,Thing
trophobiosi,Thing
trophobiosis,Thing
tropical,Thing
tropical forest,Thing
tropical forest ecosystem,Thing
underwater,Thing
ured o,Thing
variability,Thing
vascular plant specy,Thing
vegetation,Thing
vegetation factor,Thing
vegetation type,Thing
vertebrate,Thing
vertical,Thing
viru,Thing
viruse,Thing
volume,Thing
water,Thing
water quality,Thing
weather,Thing
weighed,Thing
weighing,Thing
wetland,Thing
width,Thing
wildlife,Thing
wind,Thing
wood,Thing
woody,Thing
woody plant,Thing
year,Thing
young,Thing
young leaf,Thing
young tree,Thing
